smiles,energy(Ha)
C=C,-78.03876941254534
C=O,-113.86953646696564
C#N,-92.87694247778018
CCO,-154.08991870712714
CCC(=O)O,-266.8589851577716
CN=C=O,-206.79559264403252
C1=CCC=CC1,-231.8467615668653
C1=CC=CC=C1,-230.71352354226508
C1=C(C)C=CC=C1,-269.75355216648376
C1CCC2CCCCC2C1,-389.2048422472965
